AID	role	content	content_segmented	number	songtablet	action	book
1	NULL	世事短如春夢	世事/短/如/春/夢	1.001	西江月	末上	荔鏡記--嘉靖
2	NULL	人情薄似秋雲	人情/薄/似/秋/雲	1.002	NULL	NULL	荔鏡記--嘉靖
3	NULL	不須計較苦勞心	不/須/計較/苦/勞心	1.003	NULL	NULL	荔鏡記--嘉靖
4	NULL	萬事自然由命	萬事/自然/由/命	1.004	NULL	NULL	荔鏡記--嘉靖
5	NULL	公子伯卿	公子/伯/卿	1.005	NULL	NULL	荔鏡記--嘉靖
6	NULL	佳人黃氏	佳人/黃氏	1.006	NULL	NULL	荔鏡記--嘉靖
7	NULL	窈窕真娘	窈窕/真/娘	1.007	NULL	NULL	荔鏡記--嘉靖
8	NULL	因嚴親許配呆郎	因/嚴/親/許配/呆/郎	1.008	NULL	NULL	荔鏡記--嘉靖
9	NULL	自登彩樓選東床	自/登/彩樓/選/東/床	1.009	NULL	NULL	荔鏡記--嘉靖
10	NULL	卻遇陳三遊馬過	卻/遇/陳三/遊/馬/過	1.01	NULL	NULL	荔鏡記--嘉靖
11	NULL	荔枝拋下綠衣郎	荔枝/拋下/綠/衣/郎	1.011	NULL	NULL	荔鏡記--嘉靖
12	NULL	陳三會合無計	陳三/會合/無/計	1.012	NULL	NULL	荔鏡記--嘉靖
13	NULL	學為磨鏡到中堂	學/為/磨/鏡/到/中堂	1.013	NULL	NULL	荔鏡記--嘉靖
14	NULL	益春遞簡	益/春/遞/簡	1.014	NULL	NULL	荔鏡記--嘉靖
15	NULL	得交鸞鳳	得/交/鸞/鳳	1.015	NULL	NULL	荔鏡記--嘉靖
16	NULL	潛逃私奔，被告發遣	潛逃/私/奔/，/被告/發/遣	1.016	NULL	NULL	荔鏡記--嘉靖
17	NULL	逢伊兄運使	逢/伊/兄/運/使	1.017	NULL	NULL	荔鏡記--嘉靖
18	NULL	把知州革除	把/知/州/革除	1.018	NULL	NULL	荔鏡記--嘉靖
19	NULL	夫婦再成雙	夫婦/再/成雙	1.019	NULL	NULL	荔鏡記--嘉靖
20	NULL	襟懷慷慨陳公子	襟懷/慷慨/陳/公子	1.02	NULL	NULL	荔鏡記--嘉靖
21	NULL	體態清奇黃五娘	體態/清/奇/黃/五娘	1.021	NULL	NULL	荔鏡記--嘉靖
22	NULL	荔枝為記成夫婦	荔枝/為記/成/夫婦	1.022	NULL	NULL	荔鏡記--嘉靖
23	NULL	一世風流萬古揚	一世/風流/萬/古/揚	1.023	NULL	NULL	荔鏡記--嘉靖
24	NULL	辭親赴任	辭/親/赴任	2	NULL	第二出	荔鏡記--嘉靖
25	外生	寶馬金鞍，諸親迎送	寶/馬/金/鞍/，/諸/親/迎送	2.001	粉蝶兒	NULL	荔鏡記--嘉靖
26	NULL	今旦即顯讀書人	今/旦即/顯/讀書人	2.002	NULL	NULL	荔鏡記--嘉靖
27	生	受敕奉宣	受/敕/奉/宣	2.003	NULL	NULL	荔鏡記--嘉靖
28	NULL	一家富貴不胡忙	一/家/富貴/不/胡/忙	2.004	NULL	NULL	荔鏡記--嘉靖
29	NULL	舉步高堂	舉/步/高/堂	2.005	NULL	NULL	荔鏡記--嘉靖
30	NULL	進見椿萱	進/見/椿萱	2.006	NULL	NULL	荔鏡記--嘉靖
31	外	身做運使離帝京	身/做/運/使/離/帝/京	2.007	NULL	NULL	荔鏡記--嘉靖
32	NULL	寵受君恩當刻銘	寵/受/君/恩/當/刻/銘	2.008	NULL	NULL	荔鏡記--嘉靖
33	NULL	五湖四海民安樂	五/湖/四海/民/安樂	2.009	NULL	NULL	荔鏡記--嘉靖
34	NULL	蒼生鼓舞樂堯天	蒼生/鼓舞/樂/堯/天	2.01	NULL	NULL	荔鏡記--嘉靖
35	生	聖學功夫惜寸陰	聖/學/功夫/惜/寸/陰	2.011	NULL	NULL	荔鏡記--嘉靖
36	NULL	且將無逸戒荒淫	且/將/無/逸/戒/荒/淫	2.012	NULL	NULL	荔鏡記--嘉靖
37	NULL	從今獻策龍門去	從/今/獻策/龍門/去	2.013	NULL	NULL	荔鏡記--嘉靖
38	NULL	不信無媒魏闕深	不/信/無/媒/魏闕/深	2.014	NULL	NULL	荔鏡記--嘉靖
39	外	下官姓陳，名伯延	下/官/姓/陳/，/名/伯/延	2.015	NULL	NULL	荔鏡記--嘉靖
40	NULL	厝住泉州蓬山嶺後	厝/住/泉州/蓬/山嶺/後	2.016	NULL	NULL	荔鏡記--嘉靖
41	NULL	雙親在堂	雙親/在/堂	2.017	NULL	NULL	荔鏡記--嘉靖
42	NULL	幸得一舉成名	幸得/一舉/成名	2.018	NULL	NULL	荔鏡記--嘉靖
43	NULL	除受廣南運使	除/受/廣/南/運/使	2.019	NULL	NULL	荔鏡記--嘉靖
44	NULL	敕賜劍印隨身	敕/賜/劍/印/隨/身	2.02	NULL	NULL	荔鏡記--嘉靖
45	NULL	干碍爹媽在堂	干/碍/爹/媽/在/堂	2.021	NULL	NULL	荔鏡記--嘉靖
46	NULL	不得前去赴任	不/得/前/去/赴任	2.022	NULL	NULL	荔鏡記--嘉靖
47	NULL	做侢得好	做/侢/得/好	2.023	NULL	NULL	荔鏡記--嘉靖
48	生	哥R不見古人說	哥/R/不/見古/人/說	2.024	NULL	NULL	荔鏡記--嘉靖
49	NULL	孝於事親	孝/於/事/親	2.025	NULL	NULL	荔鏡記--嘉靖
50	NULL	忠於事君	忠於/事/君	2.026	NULL	NULL	荔鏡記--嘉靖
51	NULL	盡忠不能盡孝	盡忠/不/能/盡/孝	2.027	NULL	NULL	荔鏡記--嘉靖
52	NULL	盡孝不能盡忠	盡/孝/不/能/盡忠	2.028	NULL	NULL	荔鏡記--嘉靖
53	NULL	爹媽在堂	爹/媽/在/堂	2.029	NULL	NULL	荔鏡記--嘉靖
54	NULL	小弟須當伏事	小弟/須/當/伏/事	2.03	NULL	NULL	荔鏡記--嘉靖
55	NULL	哥R不必得念	哥/R/不必/得/念	2.031	NULL	NULL	荔鏡記--嘉靖
56	丑	好說	好/說	2.032	NULL	NULL	荔鏡記--嘉靖
57	NULL	大人得知	大人/得/知	2.033	NULL	NULL	荔鏡記--嘉靖
58	NULL	行李打疊便了	行李/打疊/便/了	2.034	NULL	NULL	荔鏡記--嘉靖
59	外	見是便了	見/是/便/了	2.035	NULL	NULL	荔鏡記--嘉靖
60	NULL	請爹媽出來相辭	請/爹/媽/出來/相辭	2.036	NULL	NULL	荔鏡記--嘉靖
61	NULL	因世起身	因/世/起身	2.037	NULL	NULL	荔鏡記--嘉靖
62	淨	心忙來路緊喜得到泉州	心/忙/來路/緊/喜/得/到/泉州	2.038	NULL	NULL	荔鏡記--嘉靖
63	NULL	這里正是陳老爹門首	這/里/正是/陳/老爹/門/首	2.039	NULL	NULL	荔鏡記--嘉靖
64	丑	敢問：賢友貴處那里	敢問/：/賢/友/貴/處/那/里	2.04	NULL	NULL	荔鏡記--嘉靖
65	淨	小人正是廣南道承差	小人/正是/廣/南/道/承/差	2.041	NULL	NULL	荔鏡記--嘉靖
66	NULL	差來接運使老爺赴任	差/來/接運/使/老爺/赴任	2.042	NULL	NULL	荔鏡記--嘉靖
67	丑	尊兄立定	尊/兄/立/定	2.043	NULL	NULL	荔鏡記--嘉靖
68	NULL	待我稟過老爹	待/我/稟/過/老爹	2.044	NULL	NULL	荔鏡記--嘉靖
69	丑介	好說	好/說	2.045	NULL	NULL	荔鏡記--嘉靖
70	NULL	大人得知	大人/得/知	2.046	NULL	NULL	荔鏡記--嘉靖
71	NULL	外頭有一承差	外頭/有/一/承/差	2.047	NULL	NULL	荔鏡記--嘉靖
72	NULL	說是	說/是	2.048	NULL	NULL	荔鏡記--嘉靖
73	NULL	廣南道差來接老爹赴任	廣/南/道/差/來/接/老爹/赴任	2.049	NULL	NULL	荔鏡記--嘉靖
74	外	放他進來	放/他/進/來	2.05	NULL	NULL	荔鏡記--嘉靖
75	NULL	承差接老爹	承/差/接/老爹	2.051	NULL	淨見介	荔鏡記--嘉靖
76	外	有文書沒有	有/文書/沒/有	2.052	NULL	NULL	荔鏡記--嘉靖
77	淨	有文書	有/文書	2.053	NULL	NULL	荔鏡記--嘉靖
78	外	接上來	接/上來	2.054	NULL	NULL	荔鏡記--嘉靖
79	外	這文書上	這/文書/上	2.055	NULL	NULL	荔鏡記--嘉靖
80	NULL	還有十二名皂隸	還/有/十/二/名/皂/隸	2.056	NULL	NULL	荔鏡記--嘉靖
81	NULL	兩名吏	兩/名/吏	2.057	NULL	NULL	荔鏡記--嘉靖
82	NULL	都在那里	都/在/那/里	2.058	NULL	NULL	荔鏡記--嘉靖
83	淨	兩名吏同十二名皂隸，打水路來	兩/名/吏/同/十/二/名/皂/隸/，/打/水路/來	2.059	NULL	NULL	荔鏡記--嘉靖
84	NULL	小的恐怕老爹起馬	小/的/恐/怕/老爹/起馬	2.06	NULL	NULL	荔鏡記--嘉靖
85	NULL	緊先打旱路來院，老爹	緊/先/打/旱/路/來/院/，/老爹	2.061	NULL	NULL	荔鏡記--嘉靖
86	外	既是這等	既是/這/等	2.062	NULL	NULL	荔鏡記--嘉靖
87	NULL	左右送他館驛里安下	左右/送/他/館/驛/里/安/下	2.063	NULL	NULL	荔鏡記--嘉靖
88	NULL	明日一定起身	明/日/一定/起身	2.064	NULL	NULL	荔鏡記--嘉靖
89	NULL	請將爹媽出來相辭，因勢起身	請/將/爹/媽/出來/相辭/，/因/勢/起身	2.065	NULL	末淨下外	荔鏡記--嘉靖
90	生	爹媽請請	爹/媽/請/請	2.066	NULL	NULL	荔鏡記--嘉靖
91	末丑	今旦仔兒卜起里	今/旦/仔/兒/卜/起/里	2.067	菊花新	NULL	荔鏡記--嘉靖
92	NULL	未知值日返鄉里	未知/值日/返鄉/里	2.068	NULL	NULL	荔鏡記--嘉靖
93	NULL	夫妻二人老年紀	夫妻/二/人/老/年紀	2.069	NULL	NULL	荔鏡記--嘉靖
94	NULL	仔兒卜去櫒我心悲	仔/兒/卜/去/櫒/我/心/悲	2.07	NULL	NULL	荔鏡記--嘉靖
