UID	content	so	ti	pl	ps	book
1	我看汝是想要與我拆散的欸嗬、	52	a	32.01	NULL	語苑四
2	如此沒使得、彼當時汝對我講怎樣	52	a	32.02	NULL	語苑四
3	汝豈無講要飼我到透尾是否、	52	a	32.03	NULL	語苑四
4	今即來反梟無彼隨便、	52	a	32.04	NULL	語苑四
5	汝是在眠夢起戆想嗬。	52	a	32.05	NULL	語苑四
6	我怎樣在眠夢起戆想、	52	a	33.01	NULL	語苑四
7	汝與我敢有沒可拆開的緣分在得是否	52	a	33.02	NULL	語苑四
8	、汝與我敢有沒可拆開的緣分	52	a	33.03	NULL	語苑四
9	在得是否、我若不與汝作伙、	52	a	2.09	NULL	語苑四
10	我想汝亦沒得死嗬。	52	a	2.1	NULL	語苑四
11	唉喲、汝彼無天良、彼當時的事情沒	52	a	2.11	NULL	語苑四
12	記嘮嗬、汝着病彼久沒可起來彼候、	52	a	2.12	NULL	語苑四
13	甚人與汝照顧、厝邊頭尾不論甚人都	52	a	2.13	NULL	語苑四
14	知、汝若要食茶飲滾水的時、若無我	52	a	2.14	NULL	語苑四
15	煎給汝食、汝自己何有可好食、	52	a	2.15	NULL	語苑四
16	尚厝內無半個文、亦着我去借錢來	52	a	2.16	NULL	語苑四
17	tiah米給汝食、借到借無路、	52	a	4.01	NULL	語苑四
18	姑不終將我的査某子去賣、	52	a	4.02	NULL	語苑四
19	好情欸待汝有無。	52	a	4.03	NULL	語苑四
20	咵、汝此辨的真賢放屁、	52	a	34.01	NULL	語苑四
21	我起彼衰被汝無下落的人飼、	52	a	34.02	NULL	語苑四
22	我自己敢有可食即着咧。	52	a	34.03	NULL	語苑四
23	汝此號半路死的、	52	a	34.04	NULL	語苑四
24	汝彼敢講番仔話、來去講給人聽。	52	a	34.05	NULL	語苑四
25	要去就來去閣、我豈有驚汝是否。	52	a	34.06	NULL	語苑四
26	呵、老姆啊、來咧、來咧、真幸哉、	52	a	34.07	NULL	語苑四
27	真適好汝來、請坐請坐、	52	a	34.08	NULL	語苑四
28	我訴一條冤枉的話講給汝聽。	52	a	34.09	NULL	語苑四
29	免講、我較贏汝您夫妻的事情知道透	52	a	34.1	NULL	語苑四
30	底、平時伊去趁錢來飼汝、	52	a	34.11	NULL	語苑四
31	伊破病的時汝應該着照顧伊嗎、	52	a	34.12	NULL	語苑四
32	尚彼當時伊有與汝明呼、	52	a	34.13	NULL	語苑四
33	伊亦要甲汝拆開、無彼條情理、	52	a	35.01	NULL	語苑四
34	總是賣了汝的查某子要拾起來講、	52	a	35.02	NULL	語苑四
35	彼算是無相干嗎、您夫妻尚旦少年、	52	a	35.03	NULL	語苑四
